sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
1586,donor_2,LPS,2000,control,0,CCL5,0.711082101
1586,donor_2,LPS,2000,control,0,CCL7,0.274123788
1586,donor_2,LPS,2000,control,0,CCL8,-0.0349797048
1586,donor_2,LPS,2000,control,0,CXCL1,0.832325161
1586,donor_2,LPS,2000,control,0,CXCL10,0.0208286177
1586,donor_2,LPS,2000,control,0,CXCL16,0.428257883
1586,donor_2,LPS,2000,control,0,G-CSF,0.435049146
1586,donor_2,LPS,2000,control,0,GM-CSF,0.220884636
1586,donor_2,LPS,2000,control,0,IFN gamma,0.787057519
1586,donor_2,LPS,2000,control,0,IL-1 RA RN,0.417325169
1586,donor_2,LPS,2000,control,0,IL-1 alpha,0.719737589
1586,donor_2,LPS,2000,control,0,IL-1 beta,1.06473041
1586,donor_2,LPS,2000,control,0,IL-12 p40,0.624408484
1586,donor_2,LPS,2000,control,0,IL-6,1.14687288
1586,donor_2,LPS,2000,control,0,MMP-1,0.309872925
1586,donor_2,LPS,2000,control,0,TNF RII,0.243074656
1586,donor_2,LPS,2000,control,0,TNF alpha,1.0555135
1590,donor_2,LPS,2000,control,0,CCL1,0.720364988
1590,donor_2,LPS,2000,control,0,CCL2,1.09859812
1590,donor_2,LPS,2000,control,0,CCL22,0.296102166
1590,donor_2,LPS,2000,control,0,CCL24,0.555640578
1590,donor_2,LPS,2000,control,0,CCL5,0.721733034
1590,donor_2,LPS,2000,control,0,CCL7,0.256832272
1590,donor_2,LPS,2000,control,0,CCL8,-0.108298004
1590,donor_2,LPS,2000,control,0,CXCL1,0.809039891
1590,donor_2,LPS,2000,control,0,CXCL10,-0.00204330636
1590,donor_2,LPS,2000,control,0,CXCL16,0.46350497
1590,donor_2,LPS,2000,control,0,G-CSF,0.441276491
1590,donor_2,LPS,2000,control,0,GM-CSF,0.174356028
1590,donor_2,LPS,2000,control,0,IFN gamma,0.619984388
1590,donor_2,LPS,2000,control,0,IL-1 RA RN,0.403942645
1590,donor_2,LPS,2000,control,0,IL-1 alpha,0.651202083
1590,donor_2,LPS,2000,control,0,IL-1 beta,1.03407431
1590,donor_2,LPS,2000,control,0,IL-12 p40,0.65884167
1590,donor_2,LPS,2000,control,0,IL-6,1.1215812
1590,donor_2,LPS,2000,control,0,MMP-1,0.341637552
1590,donor_2,LPS,2000,control,0,TNF RII,0.249596566
1590,donor_2,LPS,2000,control,0,TNF alpha,1.05765772
1616,donor_2,LPS,2000,control,0,CCL1,0.773824513
1616,donor_2,LPS,2000,control,0,CCL2,1.11339223
1616,donor_2,LPS,2000,control,0,CCL22,0.388873994
1616,donor_2,LPS,2000,control,0,CCL24,0.725687325
1616,donor_2,LPS,2000,control,0,CCL5,0.79664427
1616,donor_2,LPS,2000,control,0,CCL7,0.293213248
1616,donor_2,LPS,2000,control,0,CCL8,0.0339563452
1616,donor_2,LPS,2000,control,0,CXCL1,0.836474776
1616,donor_2,LPS,2000,control,0,CXCL10,-0.0047676675
1616,donor_2,LPS,2000,control,0,CXCL16,0.462384492
1616,donor_2,LPS,2000,control,0,G-CSF,0.490239263
1616,donor_2,LPS,2000,control,0,GM-CSF,0.254383504
1616,donor_2,LPS,2000,control,0,IFN gamma,0.544783235
1616,donor_2,LPS,2000,control,0,IL-1 RA RN,0.445397377
1616,donor_2,LPS,2000,control,0,IL-1 alpha,0.735974967
1616,donor_2,LPS,2000,control,0,IL-1 beta,1.07753217
1616,donor_2,LPS,2000,control,0,IL-12 p40,0.67383796
1616,donor_2,LPS,2000,control,0,IL-6,1.13813663
1616,donor_2,LPS,2000,control,0,MMP-1,0.393035352
1616,donor_2,LPS,2000,control,0,TNF RII,0.263681114
1616,donor_2,LPS,2000,control,0,TNF alpha,1.11061072
1637,donor_2,LPS,2000,control,0,CCL1,0.779511154
1637,donor_2,LPS,2000,control,0,CCL2,1.08491778
1637,donor_2,LPS,2000,control,0,CCL22,0.26092121
1637,donor_2,LPS,2000,control,0,CCL24,0.637544334
1637,donor_2,LPS,2000,control,0,CCL5,0.708523452
1637,donor_2,LPS,2000,control,0,CCL7,0.19371964
1637,donor_2,LPS,2000,control,0,CCL8,-0.121890984
1637,donor_2,LPS,2000,control,0,CXCL1,0.803040147
1637,donor_2,LPS,2000,control,0,CXCL10,0.0151735935
1637,donor_2,LPS,2000,control,0,CXCL16,0.427195311
1637,donor_2,LPS,2000,control,0,G-CSF,0.456627309
1637,donor_2,LPS,2000,control,0,GM-CSF,0.217610762
1637,donor_2,LPS,2000,control,0,IFN gamma,0.872511983
1637,donor_2,LPS,2000,control,0,IL-1 RA RN,0.425528735
1637,donor_2,LPS,2000,control,0,IL-1 alpha,0.699238122
1637,donor_2,LPS,2000,control,0,IL-1 beta,1.13524842
1637,donor_2,LPS,2000,control,0,IL-12 p40,0.66763097
1637,donor_2,LPS,2000,control,0,IL-6,1.07365453
1637,donor_2,LPS,2000,control,0,MMP-1,0.396099985
1637,donor_2,LPS,2000,control,0,TNF RII,0.221902534
1637,donor_2,LPS,2000,control,0,TNF alpha,1.05699313
1663,donor_2,LPS,2000,control,0,CCL1,0.82904011
1663,donor_2,LPS,2000,control,0,CCL2,1.13163376
1663,donor_2,LPS,2000,control,0,CCL22,0.5115363
1663,donor_2,LPS,2000,control,0,CCL24,0.876926363
1663,donor_2,LPS,2000,control,0,CCL5,0.82242924
1663,donor_2,LPS,2000,control,0,CCL7,0.328230262
1663,donor_2,LPS,2000,control,0,CCL8,0.0234603696
1663,donor_2,LPS,2000,control,0,CXCL1,0.846653521
1663,donor_2,LPS,2000,control,0,CXCL10,0.00297880871
1663,donor_2,LPS,2000,control,0,CXCL16,0.505269825
1663,donor_2,LPS,2000,control,0,G-CSF,0.501062572
1663,donor_2,LPS,2000,control,0,GM-CSF,0.252126932
1663,donor_2,LPS,2000,control,0,IFN gamma,0.692580462
1663,donor_2,LPS,2000,control,0,IL-1 RA RN,0.494013101
1663,donor_2,LPS,2000,control,0,IL-1 alpha,0.774199426
1663,donor_2,LPS,2000,control,0,IL-1 beta,1.12706673
1663,donor_2,LPS,2000,control,0,IL-12 p40,0.779467821
1663,donor_2,LPS,2000,control,0,IL-6,1.13396192
1663,donor_2,LPS,2000,control,0,MMP-1,0.418482035
1663,donor_2,LPS,2000,control,0,TNF RII,0.281336248
1663,donor_2,LPS,2000,control,0,TNF alpha,1.09714603
1683,donor_2,LPS,2000,control,0,CCL1,0.766190469
1683,donor_2,LPS,2000,control,0,CCL2,1.10163295
1683,donor_2,LPS,2000,control,0,CCL22,0.268592954
1683,donor_2,LPS,2000,control,0,CCL24,0.607381701
1683,donor_2,LPS,2000,control,0,CCL5,0.725022852
1683,donor_2,LPS,2000,control,0,CCL7,0.260165572
1683,donor_2,LPS,2000,control,0,CCL8,0.00187271833
1683,donor_2,LPS,2000,control,0,CXCL1,0.808418751
1683,donor_2,LPS,2000,control,0,CXCL10,0.00217919331
1683,donor_2,LPS,2000,control,0,CXCL16,0.461787701
1683,donor_2,LPS,2000,control,0,G-CSF,0.445110619
1683,donor_2,LPS,2000,control,0,GM-CSF,0.234266669
1683,donor_2,LPS,2000,control,0,IFN gamma,0.586979926
1683,donor_2,LPS,2000,control,0,IL-1 RA RN,0.47668615
1683,donor_2,LPS,2000,control,0,IL-1 alpha,0.711473823
1683,donor_2,LPS,2000,control,0,IL-1 beta,1.07754946
1683,donor_2,LPS,2000,control,0,IL-12 p40,0.635311663
1683,donor_2,LPS,2000,control,0,IL-6,1.13978004
1683,donor_2,LPS,2000,control,0,MMP-1,0.422373652
1683,donor_2,LPS,2000,control,0,TNF RII,0.241885141
1683,donor_2,LPS,2000,control,0,TNF alpha,1.02971244
1688,donor_2,LPS,2000,control,0,CCL1,0.748238444
1688,donor_2,LPS,2000,control,0,CCL2,1.0766207
1688,donor_2,LPS,2000,control,0,CCL22,0.350640237
1688,donor_2,LPS,2000,control,0,CCL24,0.721018791
1688,donor_2,LPS,2000,control,0,CCL5,0.720068634
1688,donor_2,LPS,2000,control,0,CCL7,0.268084347
1688,donor_2,LPS,2000,control,0,CCL8,0.0342258625
1688,donor_2,LPS,2000,control,0,CXCL1,0.810465932
1688,donor_2,LPS,2000,control,0,CXCL10,-0.00840735156
1688,donor_2,LPS,2000,control,0,CXCL16,0.477184504
1688,donor_2,LPS,2000,control,0,G-CSF,0.465587705
1688,donor_2,LPS,2000,control,0,GM-CSF,0.208719581
1688,donor_2,LPS,2000,control,0,IFN gamma,0.581524789
1688,donor_2,LPS,2000,control,0,IL-1 RA RN,0.41860199
1688,donor_2,LPS,2000,control,0,IL-1 alpha,0.742654443
1688,donor_2,LPS,2000,control,0,IL-1 beta,1.03242075
1688,donor_2,LPS,2000,control,0,IL-12 p40,0.678304791
1688,donor_2,LPS,2000,control,0,IL-6,1.11502123
1688,donor_2,LPS,2000,control,0,MMP-1,0.273219228
1688,donor_2,LPS,2000,control,0,TNF RII,0.243715778
1688,donor_2,LPS,2000,control,0,TNF alpha,1.03455746
1708,donor_2,LPS,2000,control,0,CCL1,0.812615633
1708,donor_2,LPS,2000,control,0,CCL2,1.08263505
1708,donor_2,LPS,2000,control,0,CCL22,0.367381513
1708,donor_2,LPS,2000,control,0,CCL24,0.71833849
1708,donor_2,LPS,2000,control,0,CCL5,0.740094662
1708,donor_2,LPS,2000,control,0,CCL7,0.254627407
1708,donor_2,LPS,2000,control,0,CCL8,-0.0946143419
1708,donor_2,LPS,2000,control,0,CXCL1,0.830304861
1708,donor_2,LPS,2000,control,0,CXCL10,0.00872551929
1708,donor_2,LPS,2000,control,0,CXCL16,0.473933876
1708,donor_2,LPS,2000,control,0,G-CSF,0.435382396
1708,donor_2,LPS,2000,control,0,GM-CSF,0.220365763
1708,donor_2,LPS,2000,control,0,IFN gamma,0.587907851
1708,donor_2,LPS,2000,control,0,IL-1 RA RN,0.445120186
1708,donor_2,LPS,2000,control,0,IL-1 alpha,0.699688017
1708,donor_2,LPS,2000,control,0,IL-1 beta,1.10885
1708,donor_2,LPS,2000,control,0,IL-12 p40,0.524523795
1708,donor_2,LPS,2000,control,0,IL-6,1.15978813
1708,donor_2,LPS,2000,control,0,MMP-1,0.440436363
1708,donor_2,LPS,2000,control,0,TNF RII,0.219097748
1708,donor_2,LPS,2000,control,0,TNF alpha,1.06385946
1733,donor_2,LPS,2000,control,0,CCL1,0.80779171
1733,donor_2,LPS,2000,control,0,CCL2,1.08877909
1733,donor_2,LPS,2000,control,0,CCL22,0.418951958
1733,donor_2,LPS,2000,control,0,CCL24,0.717051566
1733,donor_2,LPS,2000,control,0,CCL5,0.740388215
1733,donor_2,LPS,2000,control,0,CCL7,0.261412382
1733,donor_2,LPS,2000,control,0,CCL8,-0.0283042789
1733,donor_2,LPS,2000,control,0,CXCL1,0.837203383
1733,donor_2,LPS,2000,control,0,CXCL10,-0.0111245513
1733,donor_2,LPS,2000,control,0,CXCL16,0.434955239
1733,donor_2,LPS,2000,control,0,G-CSF,0.463550687
1733,donor_2,LPS,2000,control,0,GM-CSF,0.238274083
1733,donor_2,LPS,2000,control,0,IFN gamma,0.539069593
1733,donor_2,LPS,2000,control,0,IL-1 RA RN,0.436916053
1733,donor_2,LPS,2000,control,0,IL-1 alpha,0.726086497
1733,donor_2,LPS,2000,control,0,IL-1 beta,1.10245049
1733,donor_2,LPS,2000,control,0,IL-12 p40,0.687577426
1733,donor_2,LPS,2000,control,0,IL-6,1.10614324
1733,donor_2,LPS,2000,control,0,MMP-1,0.491543323
1733,donor_2,LPS,2000,control,0,TNF RII,0.24827297
1733,donor_2,LPS,2000,control,0,TNF alpha,1.08125329
1758,donor_2,LPS,2000,control,0,CCL1,0.824683905
1758,donor_2,LPS,2000,control,0,CCL2,1.08520663
1758,donor_2,LPS,2000,control,0,CCL22,0.433662206
1758,donor_2,LPS,2000,control,0,CCL24,0.831123114
1758,donor_2,LPS,2000,control,0,CCL5,0.778690875
1758,donor_2,LPS,2000,control,0,CCL7,0.341637135
1758,donor_2,LPS,2000,control,0,CCL8,-0.0406740047
1758,donor_2,LPS,2000,control,0,CXCL1,0.823413312
1758,donor_2,LPS,2000,control,0,CXCL10,0.00836282969
1758,donor_2,LPS,2000,control,0,CXCL16,0.479012161
1758,donor_2,LPS,2000,control,0,G-CSF,0.421908557
1758,donor_2,LPS,2000,control,0,GM-CSF,0.222856939
1758,donor_2,LPS,2000,control,0,IFN gamma,0.772186458
1758,donor_2,LPS,2000,control,0,IL-1 RA RN,0.43765673
1758,donor_2,LPS,2000,control,0,IL-1 alpha,0.710136771
1758,donor_2,LPS,2000,control,0,IL-1 beta,1.04534352
1758,donor_2,LPS,2000,control,0,IL-12 p40,0.681118071
1758,donor_2,LPS,2000,control,0,IL-6,1.12919295
1758,donor_2,LPS,2000,control,0,MMP-1,0.368449509
1758,donor_2,LPS,2000,control,0,TNF RII,0.249783322
1758,donor_2,LPS,2000,control,0,TNF alpha,1.05334008
1778,donor_2,LPS,2000,control,0,CCL1,0.742443681
1778,donor_2,LPS,2000,control,0,CCL2,1.07351625
1778,donor_2,LPS,2000,control,0,CCL22,0.304047048
1778,donor_2,LPS,2000,control,0,CCL24,0.558245599
1778,donor_2,LPS,2000,control,0,CCL5,0.724120259
1778,donor_2,LPS,2000,control,0,CCL7,0.299671352
1778,donor_2,LPS,2000,control,0,CCL8,0.155030742
1778,donor_2,LPS,2000,control,0,CXCL1,0.835420847
1778,donor_2,LPS,2000,control,0,CXCL10,-0.0396748707
1778,donor_2,LPS,2000,control,0,CXCL16,0.430877775
1778,donor_2,LPS,2000,control,0,G-CSF,0.470574975
1778,donor_2,LPS,2000,control,0,GM-CSF,0.186818421
1778,donor_2,LPS,2000,control,0,IFN gamma,0.606537879
1778,donor_2,LPS,2000,control,0,IL-1 RA RN,0.397883147
1778,donor_2,LPS,2000,control,0,IL-1 alpha,0.721208215
1778,donor_2,LPS,2000,control,0,IL-1 beta,1.04241061
1778,donor_2,LPS,2000,control,0,IL-12 p40,0.617323697
1778,donor_2,LPS,2000,control,0,IL-6,1.09884834
1778,donor_2,LPS,2000,control,0,MMP-1,0.263689607
1778,donor_2,LPS,2000,control,0,TNF RII,0.208429664
1778,donor_2,LPS,2000,control,0,TNF alpha,0.98475498
1783,donor_2,LPS,2000,control,0,CCL1,0.827768564
1783,donor_2,LPS,2000,control,0,CCL2,1.10926867
1783,donor_2,LPS,2000,control,0,CCL22,0.310465127
1783,donor_2,LPS,2000,control,0,CCL24,0.756861866
1783,donor_2,LPS,2000,control,0,CCL5,0.765690446
1783,donor_2,LPS,2000,control,0,CCL7,0.277828753
1783,donor_2,LPS,2000,control,0,CCL8,0.0526700243
1783,donor_2,LPS,2000,control,0,CXCL1,0.823250115
1783,donor_2,LPS,2000,control,0,CXCL10,0.00998121034
1783,donor_2,LPS,2000,control,0,CXCL16,0.4452869
1783,donor_2,LPS,2000,control,0,G-CSF,0.449899614
1783,donor_2,LPS,2000,control,0,GM-CSF,0.222115651
1783,donor_2,LPS,2000,control,0,IFN gamma,0.702889323
1783,donor_2,LPS,2000,control,0,IL-1 RA RN,0.475285441
1783,donor_2,LPS,2000,control,0,IL-1 alpha,0.724395633
1783,donor_2,LPS,2000,control,0,IL-1 beta,1.12769842
1783,donor_2,LPS,2000,control,0,IL-12 p40,0.633350551
1783,donor_2,LPS,2000,control,0,IL-6,1.15733063
1783,donor_2,LPS,2000,control,0,MMP-1,0.305459172
1783,donor_2,LPS,2000,control,0,TNF RII,0.248226255
1783,donor_2,LPS,2000,control,0,TNF alpha,1.06139553
1806,donor_2,LPS,2000,control,0,CCL1,0.817152083
1806,donor_2,LPS,2000,control,0,CCL2,1.11938751
1806,donor_2,LPS,2000,control,0,CCL22,0.269772947
1806,donor_2,LPS,2000,control,0,CCL24,0.725888371
1806,donor_2,LPS,2000,control,0,CCL5,0.75330925
1806,donor_2,LPS,2000,control,0,CCL7,0.259207606
1806,donor_2,LPS,2000,control,0,CCL8,-0.0415260866
1806,donor_2,LPS,2000,control,0,CXCL1,0.816016555
1806,donor_2,LPS,2000,control,0,CXCL10,-0.00613706606
1806,donor_2,LPS,2000,control,0,CXCL16,0.485706478
1806,donor_2,LPS,2000,control,0,G-CSF,0.426843077
1806,donor_2,LPS,2000,control,0,GM-CSF,0.201477945
1806,donor_2,LPS,2000,control,0,IFN gamma,0.734476447
1806,donor_2,LPS,2000,control,0,IL-1 RA RN,0.432807952
1806,donor_2,LPS,2000,control,0,IL-1 alpha,0.66490525
1806,donor_2,LPS,2000,control,0,IL-1 beta,1.04958594
1806,donor_2,LPS,2000,control,0,IL-12 p40,0.639733493
1806,donor_2,LPS,2000,control,0,IL-6,1.08833277
1806,donor_2,LPS,2000,control,0,MMP-1,0.427502424
1806,donor_2,LPS,2000,control,0,TNF RII,0.218876511
1806,donor_2,LPS,2000,control,0,TNF alpha,1.04534173
1852,donor_2,LPS,2000,control,0,CCL1,0.837036848
1852,donor_2,LPS,2000,control,0,CCL2,1.10222769
1852,donor_2,LPS,2000,control,0,CCL22,0.411569566
1852,donor_2,LPS,2000,control,0,CCL24,0.793587208
1852,donor_2,LPS,2000,control,0,CCL5,0.732527018
1852,donor_2,LPS,2000,control,0,CCL7,0.286735743
1852,donor_2,LPS,2000,control,0,CCL8,-0.044865299
1852,donor_2,LPS,2000,control,0,CXCL1,0.836450756
1852,donor_2,LPS,2000,control,0,CXCL10,-0.0116305184
1852,donor_2,LPS,2000,control,0,CXCL16,0.470722347
1852,donor_2,LPS,2000,control,0,G-CSF,0.433856398
1852,donor_2,LPS,2000,control,0,GM-CSF,0.204720616
1852,donor_2,LPS,2000,control,0,IFN gamma,0.628264904
1852,donor_2,LPS,2000,control,0,IL-1 RA RN,0.435609072
1852,donor_2,LPS,2000,control,0,IL-1 alpha,0.689641476
1852,donor_2,LPS,2000,control,0,IL-1 beta,1.06607294
1852,donor_2,LPS,2000,control,0,IL-12 p40,0.654933989
1852,donor_2,LPS,2000,control,0,IL-6,1.14214933
1852,donor_2,LPS,2000,control,0,MMP-1,0.34687674
1852,donor_2,LPS,2000,control,0,TNF RII,0.225473166
1852,donor_2,LPS,2000,control,0,TNF alpha,1.05267084
1856,donor_2,LPS,2000,control,0,CCL1,0.797116101
1856,donor_2,LPS,2000,control,0,CCL2,1.09012067
1856,donor_2,LPS,2000,control,0,CCL22,0.326159537
1856,donor_2,LPS,2000,control,0,CCL24,0.66656673
1856,donor_2,LPS,2000,control,0,CCL5,0.730890989
1856,donor_2,LPS,2000,control,0,CCL7,0.287139088
1856,donor_2,LPS,2000,control,0,CCL8,-0.158962846
1856,donor_2,LPS,2000,control,0,CXCL1,0.82919538
1856,donor_2,LPS,2000,control,0,CXCL10,0.00225330796
1856,donor_2,LPS,2000,control,0,CXCL16,0.405205011
1856,donor_2,LPS,2000,control,0,G-CSF,0.450168163
1856,donor_2,LPS,2000,control,0,GM-CSF,0.198331937
1856,donor_2,LPS,2000,control,0,IFN gamma,0.631326079
1856,donor_2,LPS,2000,control,0,IL-1 RA RN,0.431669384
1856,donor_2,LPS,2000,control,0,IL-1 alpha,0.67973423
1856,donor_2,LPS,2000,control,0,IL-1 beta,1.05824304
1856,donor_2,LPS,2000,control,0,IL-12 p40,0.592471778
1856,donor_2,LPS,2000,control,0,IL-6,1.11345959
1856,donor_2,LPS,2000,control,0,MMP-1,0.392866969
1856,donor_2,LPS,2000,control,0,TNF RII,0.220193252
1856,donor_2,LPS,2000,control,0,TNF alpha,1.03511894
1875,donor_2,LPS,2000,control,0,CCL1,0.780827105
1875,donor_2,LPS,2000,control,0,CCL2,1.08987892
1875,donor_2,LPS,2000,control,0,CCL22,0.300289392
1875,donor_2,LPS,2000,control,0,CCL24,0.644047499
1875,donor_2,LPS,2000,control,0,CCL5,0.70901221
1875,donor_2,LPS,2000,control,0,CCL7,0.275833398
1875,donor_2,LPS,2000,control,0,CCL8,-0.0719546005
1875,donor_2,LPS,2000,control,0,CXCL1,0.816335618
1875,donor_2,LPS,2000,control,0,CXCL10,-0.0176691432
1875,donor_2,LPS,2000,control,0,CXCL16,0.442324042
1875,donor_2,LPS,2000,control,0,G-CSF,0.436258376
1875,donor_2,LPS,2000,control,0,GM-CSF,0.229074329
1875,donor_2,LPS,2000,control,0,IFN gamma,0.538178027
1875,donor_2,LPS,2000,control,0,IL-1 RA RN,0.417643696
1875,donor_2,LPS,2000,control,0,IL-1 alpha,0.688657522
1875,donor_2,LPS,2000,control,0,IL-1 beta,1.1517756
1875,donor_2,LPS,2000,control,0,IL-12 p40,0.629334509
1875,donor_2,LPS,2000,control,0,IL-6,1.10773301
1875,donor_2,LPS,2000,control,0,MMP-1,0.423140734
1875,donor_2,LPS,2000,control,0,TNF RII,0.265154272
1875,donor_2,LPS,2000,control,0,TNF alpha,1.05437672
1877,donor_2,LPS,2000,control,0,CCL1,0.789358854
1877,donor_2,LPS,2000,control,0,CCL2,1.10849893
1877,donor_2,LPS,2000,control,0,CCL22,0.238552958
1877,donor_2,LPS,2000,control,0,CCL24,0.613399386
1877,donor_2,LPS,2000,control,0,CCL5,0.724394858
1877,donor_2,LPS,2000,control,0,CCL7,0.20158416
1877,donor_2,LPS,2000,control,0,CCL8,0.0749076679
1877,donor_2,LPS,2000,control,0,CXCL1,0.816619396
1877,donor_2,LPS,2000,control,0,CXCL10,0.0162802376
1877,donor_2,LPS,2000,control,0,CXCL16,0.442900926
1877,donor_2,LPS,2000,control,0,G-CSF,0.469722837
1877,donor_2,LPS,2000,control,0,GM-CSF,0.224644348
1877,donor_2,LPS,2000,control,0,IFN gamma,0.544466317
1877,donor_2,LPS,2000,control,0,IL-1 RA RN,0.487867564
1877,donor_2,LPS,2000,control,0,IL-1 alpha,0.738588691
1877,donor_2,LPS,2000,control,0,IL-1 beta,1.12787449
1877,donor_2,LPS,2000,control,0,IL-12 p40,0.691469312
1877,donor_2,LPS,2000,control,0,IL-6,1.16964757
1877,donor_2,LPS,2000,control,0,MMP-1,0.382237136
1877,donor_2,LPS,2000,control,0,TNF RII,0.266436547
1877,donor_2,LPS,2000,control,0,TNF alpha,1.05695498
3338,donor_3,LPS,2000,IL-10,50,CCL1,0.0813884214
3338,donor_3,LPS,2000,IL-10,50,CCL2,1.14597857
3338,donor_3,LPS,2000,IL-10,50,CCL22,0.0410895199
3338,donor_3,LPS,2000,IL-10,50,CCL24,0.413388371
3338,donor_3,LPS,2000,IL-10,50,CCL5,0.455610365
3338,donor_3,LPS,2000,IL-10,50,CCL7,0.269968897
3338,donor_3,LPS,2000,IL-10,50,CCL8,0.132939309
3338,donor_3,LPS,2000,IL-10,50,CXCL1,0.771547556
3338,donor_3,LPS,2000,IL-10,50,CXCL10,-0.0372662395
3338,donor_3,LPS,2000,IL-10,50,CXCL16,0.637880385
3338,donor_3,LPS,2000,IL-10,50,G-CSF,0.00731824897
3338,donor_3,LPS,2000,IL-10,50,GM-CSF,-0.0238345284
3338,donor_3,LPS,2000,IL-10,50,IFN gamma,-0.0387477055
3338,donor_3,LPS,2000,IL-10,50,IL-1 RA RN,0.564683259
3338,donor_3,LPS,2000,IL-10,50,IL-1 alpha,-0.0136220744
3338,donor_3,LPS,2000,IL-10,50,IL-1 beta,0.362866759
3338,donor_3,LPS,2000,IL-10,50,IL-12 p40,-0.00907757878
3338,donor_3,LPS,2000,IL-10,50,IL-6,0.825672805
3338,donor_3,LPS,2000,IL-10,50,MMP-1,0.975100398
3338,donor_3,LPS,2000,IL-10,50,TNF RII,0.393853277
3338,donor_3,LPS,2000,IL-10,50,TNF alpha,0.275366217
3100,donor_3,LPS,2000,control,0,CCL1,0.687191963
3100,donor_3,LPS,2000,control,0,CCL2,0.83798188
3100,donor_3,LPS,2000,control,0,CCL22,0.641075075
3100,donor_3,LPS,2000,control,0,CCL24,0.863081694
3100,donor_3,LPS,2000,control,0,CCL5,0.572221279
3100,donor_3,LPS,2000,control,0,CCL7,0.102559134
3100,donor_3,LPS,2000,control,0,CCL8,0.0499222726
3100,donor_3,LPS,2000,control,0,CXCL1,0.772711456
3100,donor_3,LPS,2000,control,0,CXCL10,0.0346040353
3100,donor_3,LPS,2000,control,0,CXCL16,0.357378393
3100,donor_3,LPS,2000,control,0,G-CSF,0.256646544
3100,donor_3,LPS,2000,control,0,GM-CSF,0.1117156
3100,donor_3,LPS,2000,control,0,IFN gamma,0.46383214
3100,donor_3,LPS,2000,control,0,IL-1 RA RN,0.311351359
3100,donor_3,LPS,2000,control,0,IL-1 alpha,0.680973589
3100,donor_3,LPS,2000,control,0,IL-1 beta,0.98634702
3100,donor_3,LPS,2000,control,0,IL-12 p40,0.442593247
3100,donor_3,LPS,2000,control,0,IL-6,1.02342153
3100,donor_3,LPS,2000,control,0,MMP-1,0.622289777
3100,donor_3,LPS,2000,control,0,TNF RII,0.119390011
3100,donor_3,LPS,2000,control,0,TNF alpha,0.981128454
3122,donor_3,LPS,2000,control,0,CCL1,0.639543295
3122,donor_3,LPS,2000,control,0,CCL2,0.818732381
3122,donor_3,LPS,2000,control,0,CCL22,0.600483
3122,donor_3,LPS,2000,control,0,CCL24,0.854936719
3122,donor_3,LPS,2000,control,0,CCL5,0.565417528
3122,donor_3,LPS,2000,control,0,CCL7,0.0618243329
3122,donor_3,LPS,2000,control,0,CCL8,0.0046358509
3122,donor_3,LPS,2000,control,0,CXCL1,0.777350545
3122,donor_3,LPS,2000,control,0,CXCL10,0.00800812338
3122,donor_3,LPS,2000,control,0,CXCL16,0.347432375
3122,donor_3,LPS,2000,control,0,G-CSF,0.24340792
3122,donor_3,LPS,2000,control,0,GM-CSF,0.098562777
3122,donor_3,LPS,2000,control,0,IFN gamma,0.595975578
3122,donor_3,LPS,2000,control,0,IL-1 RA RN,0.283522099
3122,donor_3,LPS,2000,control,0,IL-1 alpha,0.69689244
3122,donor_3,LPS,2000,control,0,IL-1 beta,0.961717725
3122,donor_3,LPS,2000,control,0,IL-12 p40,0.428821743
3122,donor_3,LPS,2000,control,0,IL-6,1.07651889
3122,donor_3,LPS,2000,control,0,MMP-1,0.570221007
3122,donor_3,LPS,2000,control,0,TNF RII,0.129807666
3122,donor_3,LPS,2000,control,0,TNF alpha,1.00258946
3126,donor_3,LPS,2000,control,0,CCL1,0.709764123
3126,donor_3,LPS,2000,control,0,CCL2,0.854462385
3126,donor_3,LPS,2000,control,0,CCL22,0.578314841
3126,donor_3,LPS,2000,control,0,CCL24,0.868869662
3126,donor_3,LPS,2000,control,0,CCL5,0.580085933
3126,donor_3,LPS,2000,control,0,CCL7,0.0824870318
3126,donor_3,LPS,2000,control,0,CCL8,0.161172926
3126,donor_3,LPS,2000,control,0,CXCL1,0.786402225
3126,donor_3,LPS,2000,control,0,CXCL10,0.022726113
3126,donor_3,LPS,2000,control,0,CXCL16,0.362708539
3126,donor_3,LPS,2000,control,0,G-CSF,0.282485843
3126,donor_3,LPS,2000,control,0,GM-CSF,0.118532017
3126,donor_3,LPS,2000,control,0,IFN gamma,0.509751797
3126,donor_3,LPS,2000,control,0,IL-1 RA RN,0.28690353
3126,donor_3,LPS,2000,control,0,IL-1 alpha,0.702412844
3126,donor_3,LPS,2000,control,0,IL-1 beta,1.02100396
3126,donor_3,LPS,2000,control,0,IL-12 p40,0.453959525
3126,donor_3,LPS,2000,control,0,IL-6,1.07920146
3126,donor_3,LPS,2000,control,0,MMP-1,0.55869633
3126,donor_3,LPS,2000,control,0,TNF RII,0.180811822
3126,donor_3,LPS,2000,control,0,TNF alpha,1.03919315
3152,donor_3,LPS,2000,control,0,CCL1,0.656437695
3152,donor_3,LPS,2000,control,0,CCL2,0.860147178
3152,donor_3,LPS,2000,control,0,CCL22,0.517179608
3152,donor_3,LPS,2000,control,0,CCL24,0.823025286
