sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
152,donor_1,LPS,2000,control,0,CCL24,0.341917992
152,donor_1,LPS,2000,control,0,CCL5,0.748290598
152,donor_1,LPS,2000,control,0,CCL7,0.00254316372
152,donor_1,LPS,2000,control,0,CCL8,-0.194056407
152,donor_1,LPS,2000,control,0,CXCL1,0.666877091
152,donor_1,LPS,2000,control,0,CXCL10,0.0355855078
152,donor_1,LPS,2000,control,0,CXCL16,0.30099383
152,donor_1,LPS,2000,control,0,G-CSF,0.318567604
152,donor_1,LPS,2000,control,0,GM-CSF,0.0909284651
152,donor_1,LPS,2000,control,0,IFN gamma,1.08183384
152,donor_1,LPS,2000,control,0,IL-1 RA RN,0.254478961
152,donor_1,LPS,2000,control,0,IL-1 alpha,0.607018709
152,donor_1,LPS,2000,control,0,IL-1 beta,0.901962459
152,donor_1,LPS,2000,control,0,IL-12 p40,0.669591427
152,donor_1,LPS,2000,control,0,IL-6,1.01229703
152,donor_1,LPS,2000,control,0,MMP-1,0.269878328
152,donor_1,LPS,2000,control,0,TNF RII,0.108132616
152,donor_1,LPS,2000,control,0,TNF alpha,1.03353953
172,donor_1,LPS,2000,control,0,CCL1,0.732429445
172,donor_1,LPS,2000,control,0,CCL2,0.364111096
172,donor_1,LPS,2000,control,0,CCL22,0.341321766
172,donor_1,LPS,2000,control,0,CCL24,0.433340549
172,donor_1,LPS,2000,control,0,CCL5,0.728398025
172,donor_1,LPS,2000,control,0,CCL7,0.0262398217
172,donor_1,LPS,2000,control,0,CCL8,-0.0963858142
172,donor_1,LPS,2000,control,0,CXCL1,0.684206724
172,donor_1,LPS,2000,control,0,CXCL10,0.0476841033
172,donor_1,LPS,2000,control,0,CXCL16,0.279533923
172,donor_1,LPS,2000,control,0,G-CSF,0.269832015
172,donor_1,LPS,2000,control,0,GM-CSF,0.102656439
172,donor_1,LPS,2000,control,0,IFN gamma,1.0806706
172,donor_1,LPS,2000,control,0,IL-1 RA RN,0.259237468
172,donor_1,LPS,2000,control,0,IL-1 alpha,0.554267824
172,donor_1,LPS,2000,control,0,IL-1 beta,0.975417316
172,donor_1,LPS,2000,control,0,IL-12 p40,0.668991327
172,donor_1,LPS,2000,control,0,IL-6,1.07758677
172,donor_1,LPS,2000,control,0,MMP-1,0.348113954
172,donor_1,LPS,2000,control,0,TNF RII,0.120018922
172,donor_1,LPS,2000,control,0,TNF alpha,1.06230283
197,donor_1,LPS,2000,control,0,CCL1,0.542196691
197,donor_1,LPS,2000,control,0,CCL2,0.341282785
197,donor_1,LPS,2000,control,0,CCL22,0.3562859
197,donor_1,LPS,2000,control,0,CCL24,0.377092212
197,donor_1,LPS,2000,control,0,CCL5,0.693983078
197,donor_1,LPS,2000,control,0,CCL7,0.014774017
197,donor_1,LPS,2000,control,0,CCL8,0.00383829745
197,donor_1,LPS,2000,control,0,CXCL1,0.664260566
197,donor_1,LPS,2000,control,0,CXCL10,0.037303295
197,donor_1,LPS,2000,control,0,CXCL16,0.304313034
197,donor_1,LPS,2000,control,0,G-CSF,0.293436259
197,donor_1,LPS,2000,control,0,GM-CSF,0.0890887529
197,donor_1,LPS,2000,control,0,IFN gamma,1.01824725
197,donor_1,LPS,2000,control,0,IL-1 RA RN,0.238641009
197,donor_1,LPS,2000,control,0,IL-1 alpha,0.522713721
197,donor_1,LPS,2000,control,0,IL-1 beta,0.917614102
197,donor_1,LPS,2000,control,0,IL-12 p40,0.572558343
197,donor_1,LPS,2000,control,0,IL-6,0.951738715
197,donor_1,LPS,2000,control,0,MMP-1,0.269438565
197,donor_1,LPS,2000,control,0,TNF RII,0.101796791
197,donor_1,LPS,2000,control,0,TNF alpha,1.05161333
222,donor_1,LPS,2000,control,0,CCL1,0.493227184
222,donor_1,LPS,2000,control,0,CCL2,0.350633562
222,donor_1,LPS,2000,control,0,CCL22,0.262969047
222,donor_1,LPS,2000,control,0,CCL24,0.306005448
222,donor_1,LPS,2000,control,0,CCL5,0.711320996
222,donor_1,LPS,2000,control,0,CCL7,-0.00240730448
222,donor_1,LPS,2000,control,0,CCL8,-0.125465497
222,donor_1,LPS,2000,control,0,CXCL1,0.663824797
222,donor_1,LPS,2000,control,0,CXCL10,-0.00627560914
222,donor_1,LPS,2000,control,0,CXCL16,0.283504754
222,donor_1,LPS,2000,control,0,G-CSF,0.269954175
222,donor_1,LPS,2000,control,0,GM-CSF,0.0799777731
222,donor_1,LPS,2000,control,0,IFN gamma,1.10171044
222,donor_1,LPS,2000,control,0,IL-1 RA RN,0.279640138
222,donor_1,LPS,2000,control,0,IL-1 alpha,0.535405338
222,donor_1,LPS,2000,control,0,IL-1 beta,0.913789034
222,donor_1,LPS,2000,control,0,IL-12 p40,0.558445871
222,donor_1,LPS,2000,control,0,IL-6,1.00479686
222,donor_1,LPS,2000,control,0,MMP-1,0.267405093
222,donor_1,LPS,2000,control,0,TNF RII,0.0884237215
222,donor_1,LPS,2000,control,0,TNF alpha,1.03028452
242,donor_1,LPS,2000,control,0,CCL1,0.527174473
242,donor_1,LPS,2000,control,0,CCL2,0.335877091
242,donor_1,LPS,2000,control,0,CCL22,0.248640478
242,donor_1,LPS,2000,control,0,CCL24,0.257310957
242,donor_1,LPS,2000,control,0,CCL5,0.651719153
242,donor_1,LPS,2000,control,0,CCL7,0.0514075607
242,donor_1,LPS,2000,control,0,CCL8,-0.0341137759
242,donor_1,LPS,2000,control,0,CXCL1,0.68138814
242,donor_1,LPS,2000,control,0,CXCL10,-0.0225044098
242,donor_1,LPS,2000,control,0,CXCL16,0.28210175
242,donor_1,LPS,2000,control,0,G-CSF,0.274714142
242,donor_1,LPS,2000,control,0,GM-CSF,0.0940518677
242,donor_1,LPS,2000,control,0,IFN gamma,0.951454282
242,donor_1,LPS,2000,control,0,IL-1 RA RN,0.199103177
242,donor_1,LPS,2000,control,0,IL-1 alpha,0.544117153
242,donor_1,LPS,2000,control,0,IL-1 beta,0.97997278
242,donor_1,LPS,2000,control,0,IL-12 p40,0.651465476
242,donor_1,LPS,2000,control,0,IL-6,1.07610285
242,donor_1,LPS,2000,control,0,MMP-1,0.183793172
242,donor_1,LPS,2000,control,0,TNF RII,0.0991915092
242,donor_1,LPS,2000,control,0,TNF alpha,1.07789767
247,donor_1,LPS,2000,control,0,CCL1,0.474142671
247,donor_1,LPS,2000,control,0,CCL2,0.286121905
247,donor_1,LPS,2000,control,0,CCL22,0.310589433
247,donor_1,LPS,2000,control,0,CCL24,0.310438126
247,donor_1,LPS,2000,control,0,CCL5,0.642753959
247,donor_1,LPS,2000,control,0,CCL7,-0.003061831
247,donor_1,LPS,2000,control,0,CCL8,0.0810443759
247,donor_1,LPS,2000,control,0,CXCL1,0.616062343
247,donor_1,LPS,2000,control,0,CXCL10,-0.00408526137
247,donor_1,LPS,2000,control,0,CXCL16,0.252384245
247,donor_1,LPS,2000,control,0,G-CSF,0.260402977
247,donor_1,LPS,2000,control,0,GM-CSF,0.0809117034
247,donor_1,LPS,2000,control,0,IFN gamma,1.02886689
247,donor_1,LPS,2000,control,0,IL-1 RA RN,0.271833688
247,donor_1,LPS,2000,control,0,IL-1 alpha,0.531286716
247,donor_1,LPS,2000,control,0,IL-1 beta,0.930491269
247,donor_1,LPS,2000,control,0,IL-12 p40,0.56938982
247,donor_1,LPS,2000,control,0,IL-6,0.923639834
247,donor_1,LPS,2000,control,0,MMP-1,0.219021201
247,donor_1,LPS,2000,control,0,TNF RII,0.091424711
247,donor_1,LPS,2000,control,0,TNF alpha,1.0155977
270,donor_1,LPS,2000,control,0,CCL1,0.615764201
270,donor_1,LPS,2000,control,0,CCL2,0.286420554
270,donor_1,LPS,2000,control,0,CCL22,0.347189158
270,donor_1,LPS,2000,control,0,CCL24,0.410330117
270,donor_1,LPS,2000,control,0,CCL5,0.693923354
270,donor_1,LPS,2000,control,0,CCL7,-0.0126772346
270,donor_1,LPS,2000,control,0,CCL8,0.0626948178
270,donor_1,LPS,2000,control,0,CXCL1,0.676647425
270,donor_1,LPS,2000,control,0,CXCL10,-0.00119209429
270,donor_1,LPS,2000,control,0,CXCL16,0.266568154
270,donor_1,LPS,2000,control,0,G-CSF,0.255046546
270,donor_1,LPS,2000,control,0,GM-CSF,0.0746114403
270,donor_1,LPS,2000,control,0,IFN gamma,0.885448456
270,donor_1,LPS,2000,control,0,IL-1 RA RN,0.233835176
270,donor_1,LPS,2000,control,0,IL-1 alpha,0.503651917
270,donor_1,LPS,2000,control,0,IL-1 beta,0.92837745
270,donor_1,LPS,2000,control,0,IL-12 p40,0.539929748
270,donor_1,LPS,2000,control,0,IL-6,0.983797967
270,donor_1,LPS,2000,control,0,MMP-1,0.280448914
270,donor_1,LPS,2000,control,0,TNF RII,0.110600241
270,donor_1,LPS,2000,control,0,TNF alpha,1.04219913
28,donor_1,LPS,2000,control,0,CCL1,0.660648227
28,donor_1,LPS,2000,control,0,CCL2,0.402992994
28,donor_1,LPS,2000,control,0,CCL22,0.317521632
28,donor_1,LPS,2000,control,0,CCL24,0.38735503
28,donor_1,LPS,2000,control,0,CCL5,0.677427709
28,donor_1,LPS,2000,control,0,CCL7,0.0148729784
28,donor_1,LPS,2000,control,0,CCL8,-0.0606736131
28,donor_1,LPS,2000,control,0,CXCL1,0.692683518
28,donor_1,LPS,2000,control,0,CXCL10,0.0061032977
28,donor_1,LPS,2000,control,0,CXCL16,0.269824028
28,donor_1,LPS,2000,control,0,G-CSF,0.239997417
28,donor_1,LPS,2000,control,0,GM-CSF,0.0674941018
28,donor_1,LPS,2000,control,0,IFN gamma,0.913680136
28,donor_1,LPS,2000,control,0,IL-1 RA RN,0.258896977
28,donor_1,LPS,2000,control,0,IL-1 alpha,0.533039272
28,donor_1,LPS,2000,control,0,IL-1 beta,0.938933015
28,donor_1,LPS,2000,control,0,IL-12 p40,0.572027981
28,donor_1,LPS,2000,control,0,IL-6,0.990412831
28,donor_1,LPS,2000,control,0,MMP-1,0.263788849
28,donor_1,LPS,2000,control,0,TNF RII,0.122425869
28,donor_1,LPS,2000,control,0,TNF alpha,1.03822172
316,donor_1,LPS,2000,control,0,CCL1,0.670534134
316,donor_1,LPS,2000,control,0,CCL2,0.336354136
316,donor_1,LPS,2000,control,0,CCL22,0.316022396
316,donor_1,LPS,2000,control,0,CCL24,0.333247691
316,donor_1,LPS,2000,control,0,CCL5,0.665839255
316,donor_1,LPS,2000,control,0,CCL7,-0.0125035625
316,donor_1,LPS,2000,control,0,CCL8,-0.0501727015
316,donor_1,LPS,2000,control,0,CXCL1,0.648490667
316,donor_1,LPS,2000,control,0,CXCL10,-0.0143862842
316,donor_1,LPS,2000,control,0,CXCL16,0.235556334
316,donor_1,LPS,2000,control,0,G-CSF,0.235865638
316,donor_1,LPS,2000,control,0,GM-CSF,0.0638210028
316,donor_1,LPS,2000,control,0,IFN gamma,1.08123553
316,donor_1,LPS,2000,control,0,IL-1 RA RN,0.237881899
316,donor_1,LPS,2000,control,0,IL-1 alpha,0.504839242
316,donor_1,LPS,2000,control,0,IL-1 beta,0.916730881
316,donor_1,LPS,2000,control,0,IL-12 p40,0.590017319
316,donor_1,LPS,2000,control,0,IL-6,1.02222919
316,donor_1,LPS,2000,control,0,MMP-1,0.240680426
316,donor_1,LPS,2000,control,0,TNF RII,0.0957657173
316,donor_1,LPS,2000,control,0,TNF alpha,1.02203572
320,donor_1,LPS,2000,control,0,CCL1,0.571656048
320,donor_1,LPS,2000,control,0,CCL2,0.308903247
320,donor_1,LPS,2000,control,0,CCL22,0.217428833
320,donor_1,LPS,2000,control,0,CCL24,0.292091697
320,donor_1,LPS,2000,control,0,CCL5,0.657772601
320,donor_1,LPS,2000,control,0,CCL7,0.0290070847
320,donor_1,LPS,2000,control,0,CCL8,-0.0284028966
320,donor_1,LPS,2000,control,0,CXCL1,0.65109396
320,donor_1,LPS,2000,control,0,CXCL10,0.0127321118
320,donor_1,LPS,2000,control,0,CXCL16,0.25267306
320,donor_1,LPS,2000,control,0,G-CSF,0.235282362
320,donor_1,LPS,2000,control,0,GM-CSF,0.0814103335
320,donor_1,LPS,2000,control,0,IFN gamma,0.968471646
320,donor_1,LPS,2000,control,0,IL-1 RA RN,0.247493654
320,donor_1,LPS,2000,control,0,IL-1 alpha,0.476238549
320,donor_1,LPS,2000,control,0,IL-1 beta,0.907547951
320,donor_1,LPS,2000,control,0,IL-12 p40,0.537617028
320,donor_1,LPS,2000,control,0,IL-6,1.00696313
320,donor_1,LPS,2000,control,0,MMP-1,0.282252163
320,donor_1,LPS,2000,control,0,TNF RII,0.0845713839
320,donor_1,LPS,2000,control,0,TNF alpha,1.04285073
339,donor_1,LPS,2000,control,0,CCL1,0.667714834
339,donor_1,LPS,2000,control,0,CCL2,0.323665053
339,donor_1,LPS,2000,control,0,CCL22,0.288601488
339,donor_1,LPS,2000,control,0,CCL24,0.269152135
339,donor_1,LPS,2000,control,0,CCL5,0.656169534
339,donor_1,LPS,2000,control,0,CCL7,0.0128522692
339,donor_1,LPS,2000,control,0,CCL8,-0.112415567
339,donor_1,LPS,2000,control,0,CXCL1,0.639020503
